ID,country2,colldate,year_date
SRR6485000,AZE,2012-2013,2012
SRR6485002,AZE,2012-2013,2012
SRR6485004,AZE,2012-2013,2012
SRR6485007,AZE,2012-2013,2012
SRR6485009,AZE,2012-2013,2012
SRR6485017,AZE,2012-2013,2012
SRR6485018,AZE,2012-2013,2012
SRR6485020,AZE,2012-2013,2012
SRR6485022,AZE,2012-2013,2012
SRR6485025,AZE,2012-2013,2012
SRR6485029,AZE,2012-2013,2012
SRR6485031,AZE,2012-2013,2012
SRR6485032,AZE,2012-2013,2012
SRR6485039,AZE,2012-2013,2012
SRR6485041,AZE,2012-2013,2012
SRR6485043,AZE,2012-2013,2012
SRR6485046,AZE,2012-2013,2012
SRR6485048,AZE,2012-2013,2012
SRR6485049,AZE,2012-2013,2012
SRR6485054,AZE,2012-2013,2012
SRR6485058,AZE,2012-2013,2012
SRR6485069,AZE,2012-2013,2012
SRR6485075,AZE,2012-2013,2012
SRR6485077,AZE,2012-2013,2012
SRR6485088,AZE,2012-2013,2012
SRR6485090,AZE,2012-2013,2012
SRR6485092,AZE,2012-2013,2012
SRR6485097,AZE,2012-2013,2012
SRR6485101,AZE,2012-2013,2012
SRR6485103,AZE,2012-2013,2012
SRR6485112,AZE,2012-2013,2012
SRR6485114,AZE,2012-2013,2012
SRR6485120,AZE,2012-2013,2012
SRR6485122,AZE,2012-2013,2012
SRR6485124,AZE,2012-2013,2012
SRR6485132,AZE,2012-2013,2012
SRR6485135,AZE,2012-2013,2012
SRR6485139,AZE,2012-2013,2012
SRR6485142,AZE,2012-2013,2012
SRR6485147,AZE,2012-2013,2012
SRR6485150,AZE,2012-2013,2012
SRR6485152,AZE,2012-2013,2012
SRR6485154,AZE,2012-2013,2012
SRR6485162,AZE,2012-2013,2012
SRR6485169,AZE,2012-2013,2012
SRR6485171,AZE,2012-2013,2012
SRR6484832,AZE,2012-2013,2012
SRR6484840,AZE,2012-2013,2012
SRR6484842,AZE,2012-2013,2012
SRR6484855,AZE,2012-2013,2012
SRR6484860,AZE,2012-2013,2012
SRR6484864,AZE,2012-2013,2012
SRR6484867,AZE,2012-2013,2012
SRR6484870,AZE,2012-2013,2012
SRR6484878,AZE,2012-2013,2012
SRR6484885,AZE,2012-2013,2012
SRR6484890,AZE,2012-2013,2012
SRR6484892,AZE,2012-2013,2012
SRR6484897,AZE,2012-2013,2012
SRR6484901,AZE,2012-2013,2012
SRR6484902,AZE,2012-2013,2012
SRR6484911,AZE,2012-2013,2012
SRR6484916,AZE,2012-2013,2012
SRR6484920,AZE,2012-2013,2012
SRR6484926,AZE,2012-2013,2012
SRR6484938,AZE,2012-2013,2012
SRR6484941,AZE,2012-2013,2012
SRR6484942,AZE,2012-2013,2012
SRR6484946,AZE,2012-2013,2012
SRR6484953,AZE,2012-2013,2012
SRR6484955,AZE,2012-2013,2012
SRR6484957,AZE,2012-2013,2012
SRR6484960,AZE,2012-2013,2012
SRR6484962,AZE,2012-2013,2012
SRR6484967,AZE,2012-2013,2012
SRR6484975,AZE,2012-2013,2012
SRR6484989,AZE,2012-2013,2012
SRR6484990,AZE,2012-2013,2012
SRR6484992,AZE,2012-2013,2012
